"Estimate"	"Std. Error"	"df"	"t value"	"Pr(>|t|)"
"(Intercept)"	27.7955555555554	9.59974186400998	30.7052887597825	2.89544822655728	0.00691430573755186
"Genotype.L"	11.6421203151358	4.90420445743931	4.27399728853188	2.37390598539904	0.0723543556155103
"Time.L"	14.1664915239718	3.93037978810886	28.9999575426019	3.60435690383706	0.00115741130008432
"Condition.L"	7.06772803426089	16.2345343283004	28.9995202201175	0.435351448420685	0.666530512204015
"Condition.Q"	-42.2756217806033	16.2345343283004	28.9995206789455	-2.60405509179943	0.0143767428288023
