Estimate	Std. Error	df	t value	Pr(>|t|)
(Intercept)	14.8282407407404	12.1411073948217	48.00000006686	1.22132522664817	0.227927839259229
Genotype.L	1.43293879750452	3.57472765084693	47.9999928402028	0.40085257884332	0.690307467297332
Time.L	21.0122672586092	4.37812935002026	47.9999999995016	4.79937105067762	1.59088282705208e-05
Time.Q	7.10885016230783	4.37812935002026	47.9999999995016	1.6237186236343	0.110985815130452
Condition.L	1.24924067223327	21.0290148361245	47.9999915323197	0.0594055728225211	0.952875715448635
Condition.Q	-27.1220132538042	21.0290148361245	47.9999923324581	-1.28974245656115	0.203319837204516
