Estimate	Std. Error	df	t value	Pr(>|t|)
(Intercept)	20.3784259259259	6.57935600047692	38.4240838533616	3.09732835925715	0.00363964399424198
Genotype.L	9.28208596007563	4.32016643243606	4.59234904585517	2.14854823424977	0.0892798303101005
Time.L	22.8173537361382	4.38858113497673	45.9999640926305	5.1992553024223	4.49098048375218e-06
Time.Q	3.18445006792104	4.38858113497673	45.9999640926305	0.725621782981556	0.471746377859363
Condition.L	4.70705391204739	11.0058012885004	45.9999119361476	0.427688433459692	0.670873609818576
Condition.Q	-28.1809644540709	11.0058012885004	45.9999119414202	-2.56055544847209	0.0137979521198825
