Estimate	Std. Error	df	t value	Pr(>|t|)
(Intercept)	8502.52777777775	8179.79856580588	31.1528311736222	1.03945442046959	0.306594123153505
Genotype.L	3256.50171333451	3638.57279927602	30.9999996778636	0.894994244441797	0.377687031919989
Time.L	10087.8603263777	3638.57279887204	30.9999999964591	2.77247725523177	0.00932808129028093
Condition.L	136.88425849248	14167.8267114299	31.1528311221053	0.00966162709923942	0.992352864871641
Condition.Q	-18606.8440268712	14167.8267114299	31.1528311221213	-1.31331674263493	0.198667572960084
