Estimate	Std. Error	df	t value	Pr(>|t|)
(Intercept)	9852.63888888878	10600.7691268082	28.8965973068871	0.929426796398431	0.360367567376812
Genotype.L	5165.84715737847	4554.40700670194	1.99990815308541	1.13425241744464	0.374340821323543
Time.L	11029.8836937585	3624.45577730172	29.0001967847813	3.04318341055049	0.00493598012453805
Condition.L	926.107994810061	17365.5244456892	0.000836938865758681	0.0533302635176077	0.998853195852656
Condition.Q	-29367.8635079486	17365.5244456892	0.000836938873407259	-1.69115903178144	0.996023120335234
