Estimate	Std. Error	df	t value	Pr(>|t|)
(Intercept)	83926.8055555551	44105.5261750879	18.5920488464262	1.90286371876365	0.0726610121751863
Genotype.L	26876.7751995098	38086.2481078949	2.69568520015928	0.705681880855534	0.536459331936835
Time.L	-32001.8851495502	13536.9384865302	24.9964760250918	-2.36404155794853	0.0261567051806976
Condition.L	35475.5726354149	62549.1814013688	16.7549632950493	0.567162860338225	0.578123933131604
Condition.Q	74354.284360109	62549.1814013692	16.7549637275793	1.18873313278056	0.251120629660194
