Estimate	Std. Error	df	t value	Pr(>|t|)
(Intercept)	48443.0555555554	23406.5099203336	17.5510259674018	2.06964027189171	0.0535358116814933
Genotype.L	-23304.8252943462	21868.6237777844	4.17455518518464	-1.06567406944102	0.344284568321611
Time.L	-3596.10938685437	7345.25152834957	25.0001186854292	-0.489582878540633	0.628697553615061
Condition.L	28295.643988498	32266.4377047694	0.0602132628580649	0.876937338028969	0.888540459553014
Condition.Q	33686.0099874552	32266.4377047696	0.0602132551897704	1.04399532094848	0.879558891785269
