Estimate	Std. Error	df	t value	Pr(>|t|)
(Intercept)	6.41499999999995	7.25532054065962	30.9999936492693	0.884178716026339	0.38340611362139
Genotype.L	0.492617724226628	1.7902852264481	30.9999220644588	0.275161587075136	0.785017835574057
Time.L	5.59164329078295	1.79028521534029	30.9999985344974	3.12332540249466	0.00385922840402188
Condition.L	0.120231530833182	12.5665837966327	30.9999938550645	0.00956755891488972	0.992427616537436
Condition.Q	-14.3069551388929	12.5665837966326	30.9999927183496	-1.13849200151967	0.263637294165744
