Estimate	Std. Error	df	t value	Pr(>|t|)
(Intercept)	9.34277777777793	8.37623067371822	35.8675236277687	1.11539165308477	0.2721002406003
Genotype.L	7.32012653368347	5.23644353872356	2.91380475871072	1.39791950004828	0.259082323451495
Time.L	8.31321872414985	2.29236306362251	43.9999348064801	3.62648432792879	0.000742608366164817
Time.Q	-1.71736447521799	2.29236306362251	43.9999348064801	-0.749167748543338	0.457742780112155
Condition.L	-2.06883950574681	9.14821767462895	1.91093783855169	-0.226146729267755	0.842957837110981
Condition.Q	-0.127289540682213	9.14821767462895	1.91093783993403	-0.0139141355408747	0.990213519204899
