Estimate	Std. Error	df	t value	Pr(>|t|)
(Intercept)	66.8124074074076	10.0087683345718	47.8507649137129	6.67538753760813	2.34653753897856e-08
Genotype.L	1.05777936637502	4.12075221636185	3.88398218870701	0.256695697978393	0.810435136087732
Time.L	-17.329223021379	3.74256068984785	43.9988868160356	-4.63031182590749	3.23493023281944e-05
Time.Q	-5.22399048569674	3.74256068984785	43.9988868160356	-1.39583320582281	0.169768907230422
Condition.L	1.92489507417142	17.0018291060108	43.9988868384771	0.113216940493238	0.910373576775701
Condition.Q	28.1250776112656	17.0018291060109	43.9988867559218	1.65423834317462	0.105196867850055
