Estimate	Std. Error	df	t value	Pr(>|t|)
(Intercept)	48.211388888889	10.0603484799835	10.3908649454979	4.7922185781946	0.000657396423915734
Genotype.L	-18.2932452663966	9.4001000158887	2.25563078119379	-1.94606921580367	0.176411595603595
Time.L	-6.6519106254621	3.1119508665626	26.9996956385014	-2.13753716259977	0.0417630418956307
Condition.L	-0.24791319562385	13.6240732250979	26.9996860849753	-0.018196701641852	0.985615740563814
Condition.Q	36.7751017479847	13.6240732250979	26.9996860949837	2.69927364161833	0.011841765915991
