Estimate	Std. Error	df	t value	Pr(>|t|)
(Intercept)	10.3885185185184	7.95681087590064	47.7969912242756	1.30561335195019	0.197933662976875
Genotype.L	1.04677992755653	2.61850798962107	6.91134622052576	0.399761975791417	0.701397955335626
Time.L	14.0262486790365	3.11287122993593	46.0003867771505	4.5058878581769	4.51612277945364e-05
Time.Q	4.68555635149608	3.11287122993593	46.0003867771505	1.50522010240447	0.139103669110167
Condition.L	1.16906512896712	13.7600003280389	46.0003856259365	0.0849611265331806	0.932660997667211
Condition.Q	-17.5836711223234	13.7600003280388	46.0003857720034	-1.27788304528548	0.207701874520982
