Estimate	Std. Error	df	t value	Pr(>|t|)
(Intercept)	11.0356481481482	7.99546934979655	48.0000000136546	1.38023769029007	0.173908151991784
Genotype.L	1.96195942639223	2.63274517140381	47.9999946286764	0.745214329021478	0.459775749382648
Time.L	14.5041350119884	3.22444114456271	47.9999999926304	4.49818568915308	4.34685331107639e-05
Time.Q	4.90181454313902	3.22444114456271	47.9999999926304	1.52020592821327	0.1350196565082
Condition.L	3.28030577450226	13.8485591387214	47.9999956350193	0.236869824625316	0.813765790086993
Condition.Q	-14.538264337666	13.8485591387215	47.9999956350535	-1.04980339052141	0.299065526020848
